name,row,mean,se,distribution,lower_bound,upper_bound,ln_mean,ln_sd,description,source
prv_40_49_stroke_mod,263,0.010338651943618533,0.0020677303887237067,Direchlet,10.338651943618533,,,,,
prv_50_59_stroke_mod,264,0.01752069227612367,0.003504138455224734,Direchlet,17.52069227612367,,,,,
prv_Over60_stroke_mod,265,0.0499353453745869,0.00998706907491738,Direchlet,49.9353453745869,,,,=B177*RR_moderate_smoker_stroke,
prv_20_29_COPD_mod,267,0.055709529984006426,0.011141905996801286,Direchlet,55.70952998400642,,,,,
prv_30_39_COPD_mod,268,0.07183027280890443,0.014366054561780887,Direchlet,71.83027280890443,,,,,
prv_40_49_COPD_mod,269,0.1290609834103931,0.025812196682078622,Direchlet,129.0609834103931,,,,,
prv_50_59_COPD_mod,270,0.19398861986687285,0.038797723973374575,Direchlet,193.98861986687285,,,,,
prv_Over60_COPD_mod,271,0.6610317950394231,0.13220635900788463,Direchlet,661.0317950394231,,,,=B183*RR_moderate_smoker_COPD,
prv_20_29_lungcancer_mod,273,7.637241996078966e-05,1.5274483992157932e-05,Direchlet,0.7637241996078966,,,,,
prv_30_39_lungcancer_mod,274,0.0003788486593709401,7.576973187418803e-05,Direchlet,0.3788486593709401,,,,,
prv_40_49_lungcancer_mod,275,0.0019350449585767183,0.0003870089917153437,Direchlet,1.9350449585767184,,,,,
prv_50_59_lungcancer_mod,276,0.010596604516415122,0.0021193209032830244,Direchlet,10.596604516415121,,,,,
prv_Over60_lungcancer_mod,277,0.034371948981399496,0.0068743897962798995,Direchlet,34.3719489813995,,,,=B189*RR_moderate_smoker_lungcancer,
prv_20_29_IHD_heavy,281,0.0012437862507903746,0.0002487572501580749,Direchlet,1.2437862507903745,,,,,
prv_30_39_IHD_heavy,282,0.006227147473761011,0.0012454294947522023,Direchlet,6.227147473761011,,,,,
prv_40_49_IHD_heavy,283,0.026730665814448683,0.005346133162889737,Direchlet,26.73066581444868,,,,,
prv_50_59_IHD_heavy,284,0.0869625340475381,0.017392506809507623,Direchlet,86.9625340475381,,,,,
prv_Over60_IHD_heavy,285,0.2773665011591234,0.05547330023182469,Direchlet,277.3665011591234,,,,=B171*RR_heavy_smoker_IHD,
prv_20_29_stroke_heavy,287,0.004578470697772489,0.0009156941395544979,Direchlet,4.578470697772489,,,,,
prv_30_39_stroke_heavy,288,0.007605276762966888,0.0015210553525933776,Direchlet,7.605276762966888,,,,,
prv_40_49_stroke_heavy,289,0.014533497877388455,0.002906699575477691,Direchlet,14.533497877388454,,,,,
prv_50_59_stroke_heavy,290,0.03199705379905924,0.006399410759811848,Direchlet,31.99705379905924,,,,,
prv_Over60_stroke_heavy,291,0.1062769249077725,0.021255384981554503,Direchlet,106.27692490777251,,,,=B177*RR_heavy_smoker_stroke,
prv_20_29_COPD_heavy,293,0.08650112522689081,0.017300225045378162,Direchlet,86.5011252268908,,,,,
prv_30_39_COPD_heavy,294,0.14552801875710586,0.029105603751421173,Direchlet,145.52801875710585,,,,,
prv_40_49_COPD_heavy,295,0.2761228973243442,0.05522457946486884,Direchlet,276.1228973243442,,,,,
prv_50_59_COPD_heavy,296,0.6999388490018793,0.13998776980037586,Direchlet,699.9388490018792,,,,,
prv_Over60_COPD_heavy,297,0.5433427674999344,0.10866855349998689,Direchlet,543.3427674999343,,,,,
prv_20_29_lungcancer_heavy,299,0.00010535401131293863,2.107080226258773e-05,Direchlet,0.10535401131293863,,,,,
prv_30_39_lungcancer_heavy,300,0.0007693368868014642,0.00015386737736029286,Direchlet,0.7693368868014642,,,,,
prv_40_49_lungcancer_heavy,301,0.0039163636693736814,0.0007832727338747364,Direchlet,3.9163636693736814,,,,,
prv_50_59_lungcancer_heavy,302,0.01648981554853575,0.00329796310970715,Direchlet,16.48981554853575,,,,,
prv_Over60_lungcancer_heavy,303,0.07301380643316972,0.014602761286633945,Direchlet,73.01380643316972,,,,=B189*RR_heavy_smoker_lungcancer,
inc_20_29_IHD_light,307,0.00012864774707604248,,,,,,,,
inc_30_39_IHD_light,308,0.0005268124375141875,,,,,,,,
inc_40_49_IHD_light,309,0.002341494297878314,,,,,,,,
inc_50_59_IHD_light,310,0.006119478669554734,,,,,,,,
inc_Over60_IHD_light,311,0.014022739310728017,,,,,,,,
inc_20_29_stroke_light,313,0.0001350496856232847,,,,,,,,
inc_30_39_stroke_light,314,0.0002540855682519076,,,,,,,,
inc_40_49_stroke_light,315,0.0006766710515097148,,,,,,,,
inc_50_59_stroke_light,316,0.001606369825315065,,,,,,,,
inc_Over60_stroke_light,317,0.006011884139204333,,,,,,,,
inc_20_29_COPD_light,319,0.0017844521723842414,,,,,,,,
inc_30_39_COPD_light,320,0.0021244290784397527,,,,,,,,
inc_40_49_COPD_light,321,0.00859689309386154,,,,,,,,
inc_50_59_COPD_light,322,0.019148142940550242,,,,,,,,
inc_Over60_COPD_light,323,0.05593274816553349,,,,,,,,
inc_20_29_lungcancer_light,325,4.5306404208363865e-06,,,,,,,,
inc_30_39_lungcancer_light,326,3.5137080648466034e-05,,,,,,,,
inc_40_49_lungcancer_light,327,0.00023986274436174127,,,,,,,,
inc_50_59_lungcancer_light,328,0.0010747961632208277,,,,,,,,
inc_Over60_lungcancer_light,329,0.00598088502115311,,,,,,,,
inc_20_29_IHD_mod,333,0.00017835932900958138,,,,,,,,
inc_30_39_IHD_mod,334,0.0007303813320057016,,,,,,,,
inc_40_49_IHD_mod,335,0.0032462857791243035,,,,,,,,
inc_50_59_IHD_mod,336,0.008484144761159888,,,,,,,,
inc_Over60_IHD_mod,337,0.019441353861092955,,,,,,,,
inc_20_29_stroke_mod,339,0.00019559535361003805,,,,,,,,
inc_30_39_stroke_mod,340,0.000367997573189986,,,,,,,,
inc_40_49_stroke_mod,341,0.000980037183995481,,,,,,,,
inc_50_59_stroke_mod,342,0.0023265398402143515,,,,,,,,
inc_Over60_stroke_mod,343,0.008707140624898333,,,,,,,,
inc_20_29_COPD_mod,345,0.0032567734722338017,,,,,,,,
inc_30_39_COPD_mod,346,0.0038772595720850092,,,,,,,,
inc_40_49_COPD_mod,347,0.01569004415193117,,,,,,,,
inc_50_59_COPD_mod,348,0.03494695175158603,,,,,,,,
inc_Over60_COPD_mod,349,0.10208191246238636,,,,,,,,
inc_20_29_lungcancer_mod,351,1.4520385369089697e-05,,,,,,,,
inc_30_39_lungcancer_mod,352,0.0001126118836123225,,,,,,,,
inc_40_49_lungcancer_mod,353,0.0007687433034416278,,,,,,,,
inc_50_59_lungcancer_mod,354,0.003444646459121202,,,,,,,,
inc_Over60_lungcancer_mod,355,0.01916831778482372,,,,,,,,
inc_20_29_IHD_heavy,359,0.00023212866238236997,,,,,,,,
inc_30_39_IHD_heavy,360,0.0009505667159043272,,,,,,,,
inc_40_49_IHD_heavy,361,0.004224931657926083,,,,,,,,
inc_50_59_IHD_heavy,362,0.011041828794728424,,,,,,,,
inc_Over60_IHD_heavy,363,0.02530226757264489,,,,,,,,
inc_20_29_stroke_heavy,365,0.00023418271442693456,,,,,,,,
inc_30_39_stroke_heavy,366,0.0004405967166478372,,,,,,,,
inc_40_49_stroke_heavy,367,0.0011733804701974904,,,,,,,,
inc_50_59_stroke_heavy,368,0.002785523300773553,,,,,,,,
inc_Over60_stroke_heavy,369,0.010424899103181362,,,,,,,,
inc_20_29_COPD_heavy,371,0.005482424821202574,,,,,,,,
inc_30_39_COPD_heavy,372,0.006526945855298995,,,,,,,,
inc_40_49_COPD_heavy,373,0.026412487155672966,,,,,,,,
inc_50_59_COPD_heavy,374,0.058829401965390875,,,,,,,,
inc_Over60_COPD_heavy,375,0.17184382501609805,,,,,,,,
inc_20_29_lungcancer_heavy,377,2.8588412438466475e-05,,,,,,,,
inc_30_39_lungcancer_heavy,378,0.00022171553249784634,,,,,,,,
inc_40_49_lungcancer_heavy,379,0.0015135376961056659,,,,,,,,
inc_50_59_lungcancer_heavy,380,0.006781980723989126,,,,,,,,
inc_Over60_lungcancer_heavy,381,0.03773947871594864,,,,,,,,
c_OAT,385,108038.568119184,21607.7136238368,Gamma ,25,4321.54272476736,65687.44941646387,150389.68682190412,from OAT vs no OAT ,
c_lung_cancer,386,273715.76,54743.152,Gamma ,25,10948.630400000002,166419.18208,381012.33792,COST file,
c_COPD,387,125769.31,25153.862,Gamma ,24.999999999999993,5030.772400000001,76467.74048,175070.87952000002,,
c_stroke__AS,388,4957.81,991.5620000000001,Gamma ,24.999999999999996,198.31240000000005,3014.34848,6901.27152,,
c_stroke__MS,389,91304.21,18260.842,Gamma ,25,3652.1684,55512.95968000001,127095.46032000001,,
c_stroke__SS,390,1397984.69,279596.938,Gamma ,24.999999999999993,55919.38760000002,849974.6915199999,1945994.68848,,
c_IHD,391,6286.41,1257.2820000000002,Gamma ,24.99999999999999,251.4564000000001,3822.1372799999995,8750.68272,,
c_eventstroke,393,268019.44,53603.888000000006,Gamma ,24.999999999999996,10720.777600000003,162955.81952,373083.06048,,
c_eventIHD,394,119160.98,23832.196,Gamma ,25,4766.4392,72449.87584,165872.08416,,
c_nurse_time__per_hour,398,354.43,106.329,Gamma ,11.111111111111112,31.898699999999998,146.02516000000003,562.83484,,
